국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,국가 평균
리투아니아,2220.8,2324.7,1836.4,1934.8,2175.6,2283.6,2415.7,2598.1,2624.8,2680.5,2752.7,2721,2634.3,2843.9,3054,2785.6,2950.3,3072,3190.7,2584.1842105263154
룩셈부르크,3773.4,-,-,4357,4494.7,4864.1,4411.8,4633.7,4712.8,4826.3,5145,5451.4,4352.2,4614.2,4741.1,4480,4668,4960.2,4941.7,4672.211764705881
북마케도니아,651.2,607,568.1,544.5,519.7,540.2,514.8,502.6,468.2,431.6,532.1,445.2,611.8,675.3,837.6,858.5,854.3,729.4,799.3,615.3368421052631
몰타,-,-,682.2,688.5,1082.4,1183.7,1282.2,1206.3,1321.2,1200.3,1417,1785.9,1986.7,1886.7,1831.7,1891.3,2054.6,2130.5,1946.5,1504.570588235294
몰도바,-,-,-,758.7,756.9,719.5,700.1,725.5,822.1,802.8,760.9,777.3,768.6,737.3,746.8,758.2,725.7,723.9,696.1,748.7750000000001
모나코,-,-,-,-,268.7,295.5,-,-,-,-,-,-,-,-,-,-,-,-,-,282.1
네덜란드,2649.3,2846.7,2723.4,2703.9,2971.8,2923.8,3232.9,3093.1,3061.7,2824.3,3219,3664.4,4361.4,4551.9,4512.6,4673.1,4776.8,4887.2,5604.5,3646.410526315789
노르웨이,-,4352.1,-,4495.9,4493.5,4576.6,4831.9,5159.7,5361.1,5443.1,5413.8,5502.5,5553,5573.8,5685.6,5891,6077.6,6350.1,6466.7,5366.352941176471
폴란드,1431,1457.3,1473.8,1524.3,1587.1,1620.1,1553.2,1600.8,1611.3,1593.3,1683.1,1675.1,1752.7,1873.1,2064,2171.6,2320.8,3019.1,3106.1,1848.3052631578946
포르투갈,1625.5,1714,1827.8,1940.8,1975.4,2010.4,2338.2,2664.9,3813.8,3756.5,3918.8,4168.3,4037.3,3610.6,3662.4,3729.8,4004.6,4367.7,4537.5,3142.331578947368
루마니아,924.9,897.1,928.3,965.2,985.1,1071.9,895.8,894.2,931.1,933.8,966.2,790.7,890.7,922.7,903.8,876.2,911.6,891.3,882.4,919.1052631578949
러시아,3459,3468.3,3387.7,3371,3315.1,3233.6,3238.1,3274.2,3149.9,3085.7,3081.1,3114.6,3078.4,3052.7,3075.1,3098.1,2952.2,2821.5,2784.3,3160.031578947368
슬로바키아,1843.8,1775,1700.1,1782.8,1985,2022.7,2181.3,2288.4,2331.3,2460.6,2809.4,2833.4,2820.2,2716.4,2715.6,2650.2,2253.3,2416.2,2996,2346.4052631578948
슬로베니아,2181.4,2263.2,2335.9,1899,2024.9,2633.1,2924.9,3106.2,3475.9,3661.1,3769.8,4277.3,4317.2,4220.3,4147.1,3814.2,3914.3,4479.4,4854.6,3384.2
스페인,1878,1938.1,1987.6,2172.1,2332,2492.6,2588.9,2699.2,2843.3,2872.3,2869.2,2766,2693.8,2625.7,2613.1,2623.4,2715.5,2855.7,3000.9,2556.1789473684207
스웨덴,-,5169.3,-,5383,5426.1,6085.1,6126.6,4999.7,5437.2,5079.7,5251.5,5144.6,5164.1,6674.3,6876,6834,7154.5,7383.4,7536.5,5983.85882352941
스위스,3654.2,-,-,-,3468.2,-,-,-,3298.2,-,-,-,4468.6,-,-,5271.9,-,5450.4,-,4268.583333333333
우크라이나,-,-,-,-,-,-,1475.4,1455.6,1428.3,1345.6,1328,1257.9,1231,1162,1023.9,1006,1037.2,994.1,988.1,1210.2384615384615
영국,2894.5,3080.7,3340.2,3638.1,3824.3,4123.5,4176.3,4111.1,4053.9,4076.6,4043.3,3926.1,3969.9,4119.5,4227.6,4319.5,4357.9,4341.2,4603.3,3959.342105263158
유로지역,2388.2,2411.4,2501.7,2502.5,2731.1,2761.8,2881.5,2995.1,3174,3250.4,3359.6,3397.9,3531.2,3566,3594.4,3760.6,3843.9,4018,4180.1,3202.6
몬테네그로,-,-,-,-,-,-,-,-,-,-,-,649.8,-,645,671.8,834.6,715.8,702.7,734.3,707.7142857142857
세르비아,-,-,-,-,-,-,-,1195.6,1360.4,1429.4,1514.8,1624,1643.4,1727,1831,2071.2,2132.8,2079.2,2087.2,1724.6666666666667
알제리,-,-,-,-,-,168.7,-,-,-,-,-,-,-,-,-,-,-,819.3,-,494.0
앙골라,-,-,-,-,-,-,-,-,-,-,-,47.5,-,-,-,-,18.8,-,-,33.15
보츠와나,-,-,-,-,-,-,-,-,-,-,-,-,172.4,185.2,-,-,-,-,-,178.8
부르키나파소,-,-,-,-,-,-,-,-,-,-,47.6,-,-,-,-,-,-,-,-,47.6
부룬디,-,-,-,-,-,-,-,-,-,-,-,-,20.9,-,-,-,-,-,23.4,22.15
카보베르데,-,103.3,135.5,-,-,-,-,-,-,-,-,50.1,-,-,123.5,-,-,-,-,103.10000000000001
차드,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.9,-,-,57.9
콩고,32.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.5
콩고민주공화국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.6,-,-,-,10.6
코트디부아르,-,-,-,-,-,69.1,-,-,-,-,-,-,-,-,-,-,-,-,-,69.1
이집트,-,-,-,-,-,-,-,631,438.6,433.3,492.4,491.8,517.1,539,675.2,672.9,689.2,677.1,686.7,578.6916666666666
