파나마,160,15,214,-,230,-,260,-,218,91,303,228,440,238,475,231,371,310,370,392,468,378,441,321,234,325,87,266,287,166,403,78,417,13,409,4,497,147,362,133
파라과이,222,-,265,-,182,-,185,-,205,-,265,-,385,-,332,-,278,-,261,-,365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350,13,-,-
페루,1078,308,1010,537,869,550,924,545,823,505,1020,388,1271,306,1359,327,1535,359,694,385,300,365,1168,385,1190,431,1266,287,1287,332,1249,362,1163,403,1219,510,1222,625,1259,713
세인트루시아,-,-,7,7,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,3,-,2,-,-,-
세인트빈센트그레나딘,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,8,-,8,-,7,-,-,-,3,10,4,8,3,2
트리니다드토바고,154,-,239,-,223,17,231,-,208,-,206,-,278,81,319,64,281,90,-,-,-,-,-,-,215,57,174,34,188,39,168,33,136,60,171,66,139,26,113,68
우루과이,616,140,595,-,496,55,549,94,551,86,613,-,756,-,774,-,739,64,780,17,784,29,687,13,700,22,-,-,676,31,558,19,-,-,523,27,-,-,-,-
베네수엘라,2348,756,-,-,2217,781,2069,328,1957,45,2353,-,2540,-,2542,-,2376,-,2111,-,1843,-,1625,-,1526,-,1463,-,1432,-,975,-,595,-,434,-,-,-,-,-
유럽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
알바니아,62,6,120,49,238,87,391,201,416,390,386,395,426,116,366,420,378,541,361,402,341,349,11,21,-,-,4,9,13,5,19,10,25,5,24,10,18,12,5,2
안도라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,6,4,11,6,15,11
오스트리아,2301,1217,2099,1385,2261,1564,2333,1360,2514,961,2505,938,2649,1564,2672,1237,2627,1301,2555,1102,2673,1130,2430,1198,2552,1439,2406,1256,2363,962,2441,1356,2315,1135,2305,1102,2207,1189,2274,1112
벨라루스,1198,537,1144,529,1274,682,1380,1061,1265,861,1462,955,1525,1130,1662,1379,1730,1252,1926,1297,1933,1222,1871,1474,1871,1291,1634,1117,757,1938,691,902,521,949,524,861,547,627,393,461
벨기에,820,822,835,839,748,508,707,629,636,715,622,708,651,548,617,519,708,526,817,364,760,532,763,541,882,795,876,745,1026,373,1097,567,1173,1620,1217,1016,1110,1019,1133,998
보스니아-헤르체고비나,273,-,361,-,-,-,274,21,396,14,372,46,217,272,-,-,71,127,-,-,65,173,55,115,16,57,29,31,43,5,-,-,66,12,99,4,96,5,59,2
불가리아,940,481,1068,425,1024,376,958,389,396,299,313,313,291,317,239,264,271,268,266,242,260,251,283,128,259,101,297,125,234,72,291,37,241,42,225,77,198,181,193,195
크로아티아,875,379,961,221,1031,187,1086,177,1224,135,1012,140,436,183,437,147,401,138,318,154,278,82,251,184,249,155,253,159,200,90,186,45,188,35,159,20,136,21,211,20
체코,4939,1611,4752,1719,5557,1454,3579,1831,1252,1514,830,1551,836,1324,908,1203,854,1280,881,1293,982,911,880,687,1017,668,1081,611,972,688,952,749,839,781,860,669,732,512,813,509
덴마크,1870,405,1945,370,1984,465,1925,513,2015,784,1823,389,1691,162,1857,221,1829,225,1649,211,1768,155,1771,110,1635,190,1534,309,1583,292,1732,430,1850,409,1772,419,1501,322,1579,501
에스토니아,804,84,717,257,719,349,602,261,124,198,38,163,45,189,63,185,72,172,96,132,97,120,77,129,25,116,42,78,50,38,36,24,30,27,41,15,30,14,32,5
핀란드,2903,1939,2660,2047,2369,2055,2187,2414,2220,2075,2059,1757,2018,1059,2015,921,1946,997,1933,1055,1833,923,1774,841,1827,836,1737,711,1545,787,1416,931,1368,815,1529,704,1487,533,1396,505
프랑스,17353,11274,17104,11347,16908,9998,16850,11587,17290,11836,17275,11473,17249,13788,17109,12112,16419,10811,15693,10529,16580,9899,16754,10213,16632,12913,16886,11405,16533,11889,16300,12699,16218,12374,16247,11865,16222,12249,15869,13593
독일,62142,14707,60475,14351,58187,14860,58481,17434,59234,16661,60222,17063,60585,21034,60992,17739,62417,17308,59583,14435,59245,13678,59444,11719,61340,11332,63167,13858,65965,15030,66893,14795,67899,15652,67712,15653,67898,16367,67434,18255
그리스,340,210,434,246,412,354,420,306,407,354,482,320,562,303,595,368,658,444,720,442,744,479,741,364,656,291,717,282,670,316,573,262,646,271,589,261,579,240,594,248
헝가리,4937,1605,5448,1445,5906,1278,4810,1421,2657,977,1202,1126,924,1089,791,637,772,551,787,415,696,65,698,445,758,477,708,1351,619,376,633,365,665,271,532,155,443,156,450,135
아이슬란드,876,16,762,42,450,42,805,80,529,69,592,101,371,112,114,138,81,163,86,79,76,139,71,67,44,47,46,43,64,54,46,17,38,22,44,36,66,16,62,9
아일랜드,439,393,521,216,461,156,440,360,385,326,406,226,448,167,444,144,457,108,415,191,350,87,230,114,216,101,135,116,118,69,203,48,149,64,137,60,108,52,93,48
이탈리아,9273,5285,9487,4871,9500,6209,9401,6523,9247,4763,9331,5534,10903,5560,10125,6508,9449,7318,9717,18277,9723,16106,9721,6380,9310,5625,9212,8114,9382,7795,9687,7153,9821,6429,9674,4855,9821,6424,10127,8617
라트비아,179,163,180,181,214,177,115,168,151,135,169,122,151,120,147,122,215,178,243,202,185,184,183,180,205,154,233,136,107,141,137,147,113,68,97,87,110,51,87,52
