국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,국가 평균
르완다,-,-,-,-,-,-,-,-,-,-,-,-,70,-,12,6,6,6,7,-,18
상투메프린시페,-,-,-,-,-,-,-,-,-,1,1,2,-,8,3,-,238,379,408,-,130
세이셸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,46,17,12,22
남아프리카공화국,3295,6393,6600,6225,6789,7004,7605,8317,7941,6735,6383,7245,7444,7295,7552,7497,7210,7544,6915,6914,6945
수단,22,14,22,17,21,22,16,16,343,334,254,252,157,269,8,268,285,293,380,245,162
에스와티니,-,-,-,-,-,-,-,-,-,-,-,6,3,-,2,2,-,-,-,-,3
탄자니아,-,3,2,1,3,3,1,4,5,3,1,2,-,3,4,2,-,-,25,-,4
튀니지,257,178,103,155,269,338,456,492,548,557,621,680,626,549,542,589,583,555,451,-,450
우간다,-,-,-,5,13,3,11,7,-,-,-,-,-,14,8,9,16,-,6,-,9
잠비아,-,31,9,13,28,27,13,39,43,18,17,24,38,39,39,32,33,22,24,23,27
짐바브웨,-,-,-,-,-,-,-,-,-,-,-,-,-,23,27,28,13,-,-,-,23
오스트레일리아,22001,22735,22545,21594,22833,23857,26003,26840,26346,23681,24887,25526,26358,29717,25956,28605,28394,28906,29957,29758,25825
뉴질랜드,7048,7275,6948,6873,6531,7005,7365,7844,5724,6358,6636,6209,7099,6781,7728,6501,6386,6160,6238,6014,6736
파푸아뉴기니,-,-,-,-,-,-,-,-,46,-,-,-,-,79,-,47,-,-,-,-,57
사모아,-,-,-,7,2,-,-,11,-,-,-,-,-,-,100,4,-,-,1,3,18
